time_series,altitude
0.0,7.7
0.25,20.0
0.5,43.0
0.75,75.0
1.0,105.0
1.25,78.0
1.5,95.0
1.75,65.0
2.0,140.0
2.25,115.0
2.5,123.0
2.75,113.0
3.0,118.0
3.25,128.0
3.5,122.0
3.75,108.0
4.0,105.0
4.25,105.0
4.5,105.0
4.75,104.0
5.0,102.0
5.25,100.0
5.5,101.0
5.75,99.0
6.0,97.0
6.25,96.0
6.5,95.0
6.75,94.0
7.0,93.0
7.25,91.0
7.5,89.0
7.75,89.0
8.0,89.0
8.25,88.0
8.5,87.0
8.75,86.0
9.0,84.0
9.25,82.0
9.5,82.0
9.75,80.0
10.0,79.0
10.25,77.0
10.5,75.0
10.75,72.0
11.0,71.0
11.25,69.0
11.5,68.0
11.75,66.0
12.0,65.0
12.25,63.0
12.5,60.0
12.75,58.0
13.0,57.0
13.25,57.0
13.5,56.0
13.75,54.0
14.0,53.0
14.25,51.0
14.5,50.0
14.75,48.0
15.0,48.0
15.25,47.0
15.5,45.0
15.75,45.0
16.0,44.0
16.25,43.0
16.5,41.0
16.75,40.0
17.0,40.0
17.25,39.0
17.5,38.0
17.75,36.0
18.0,36.0
18.25,34.0
18.5,34.0
18.75,33.0
19.0,31.0
19.25,29.0
19.5,28.0
19.75,28.0
20.0,26.0
20.25,26.0
20.5,25.0
20.75,24.0
21.0,23.0
21.25,22.0
21.5,21.0
21.75,20.0
22.0,20.0
22.25,20.0
22.5,19.0
22.75,18.0
23.0,17.0
23.25,17.0
23.5,17.0
23.75,16.0
24.0,17.0
24.25,16.0
24.5,14.0
24.75,15.0
25.0,15.0
25.25,15.0
25.5,15.0
25.75,14.0
26.0,14.0
26.25,13.0
26.5,13.0
26.75,12.0
27.0,11.0
27.25,11.0
27.5,10.0
27.75,11.0
28.0,11.0
28.25,10.0
28.5,10.0
28.75,10.0
29.0,10.0
29.25,10.0
29.5,10.0
29.75,10.0
30.0,10.0
30.25,8.6
30.5,8.6
30.75,9.1
31.0,8.7
31.25,8.8
31.5,5.1
31.75,5.0
32.0,6.3
32.25,5.5
32.5,5.4
32.75,5.2
33.0,4.9
33.25,5.2
