time,Altitude,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ
0.0,7.7,49.67,-11.0,6.97,0.6,0.8,2.0
0.25,20.0,16.08,-8.8,47.34,0.46,0.7,0.0
0.5,43.0,54.13,3.58,51.76,0.19,0.48,0.0
0.75,75.0,4.17,24.7,-75.38,0.08,0.51,0.0
1.0,105.0,-8.75,-28.0,-91.68,0.53,0.52,0.96
1.25,78.0,3.12,0.39,5.53,0.04,0.22,-0.26
1.5,95.0,-273.2,-7.0,102.0,-1.42,0.67,-1.99
1.75,65.0,67.88,-286.0,35.2,1.04,0.24,2.0
2.0,140.0,-239.4,14.0,286.0,0.55,0.79,0.24
2.25,115.0,286.68,-28.0,286.0,1.21,0.37,0.7
2.5,123.0,119.45,182.0,286.6,0.68,0.45,0.5
2.75,113.0,286.68,-28.0,286.0,0.74,0.34,1.43
3.0,118.0,-156.2,17.0,54.8,-0.17,0.26,0.2
3.25,128.0,-7.52,95.8,27.61,0.12,0.26,0.12
3.5,122.0,71.67,117.0,126.28,-0.17,0.03,-0.05
3.75,108.0,-65.54,286.0,286.6,0.17,0.42,1.06
4.0,105.0,230.92,-73.0,286.6,0.68,0.22,0.94
4.25,105.0,-74.3,25.0,21.13,0.73,0.17,0.0
4.5,105.0,-70.51,-30.0,197.3,0.33,0.17,0.95
4.75,104.0,-10.16,52.0,183.86,0.04,0.2,1.08
5.0,102.0,-74.58,28.0,278.11,0.37,0.07,1.16
5.25,100.0,87.67,22.0,111.73,0.18,0.12,1.13
5.5,101.0,2.98,18.7,221.56,0.23,0.25,0.86
5.75,99.0,0.0,0.0,0.0,0.35,0.06,1.13
6.0,97.0,6.22,49.0,-57.91,0.4,0.19,1.36
6.25,96.0,128.04,5.0,286.68,0.28,0.05,1.14
6.5,95.0,43.0,0.91,124.4,0.21,0.04,0.85
6.75,94.0,74.09,-34.0,5.08,0.17,0.08,0.82
7.0,93.0,23.86,-15.0,209.57,0.16,0.07,1.0
7.25,91.0,65.53,19.2,88.76,0.2,0.06,1.27
7.5,89.0,34.67,54.3,99.02,0.24,0.07,1.25
7.75,89.0,17.02,21.8,74.16,0.19,0.13,1.14
8.0,89.0,25.68,18.1,-48.88,0.2,0.07,0.99
8.25,88.0,10.37,-11.0,-67.1,0.13,0.08,0.81
8.5,87.0,-22.52,-5.0,5.61,0.19,0.07,0.9
8.75,86.0,-32.36,4.4,-82.5,0.2,0.07,0.96
9.0,84.0,-26.51,-8.0,-54.79,0.15,0.06,0.83
9.25,82.0,-10.37,18.0,-47.93,0.2,0.06,0.87
9.5,82.0,-27.26,7.6,-65.08,0.22,0.06,0.92
9.75,80.0,-3.91,-11.0,-52.5,0.2,0.08,0.96
10.0,79.0,-16.0,-21.0,93.5,0.2,0.06,0.96
10.25,77.0,-14.52,-1.0,-31.44,0.19,0.07,0.87
10.5,75.0,-10.53,3.4,-17.67,0.2,0.08,0.92
10.75,72.0,6.18,12.2,-102.31,0.21,0.09,1.02
11.0,71.0,6.01,15.7,-56.48,0.17,0.11,0.98
11.25,69.0,-5.71,12.6,-15.58,0.21,0.08,0.94
11.5,68.0,7.95,7.96,-63.79,0.23,0.1,1.11
11.75,66.0,2.26,6.06,-51.37,0.17,0.12,0.97
12.0,65.0,-6.28,6.95,-93.11,0.16,0.13,0.93
12.25,63.0,-2.35,18.5,-78.51,0.13,0.1,0.97
12.5,60.0,-33.45,13.0,-64.26,0.18,0.06,0.06
12.75,58.0,-9.13,27.6,-81.74,0.18,0.06,1.07
13.0,57.0,-3.23,27.9,-68.12,0.25,0.09,1.15
13.25,57.0,-16.55,27.0,-150.6,0.23,0.06,0.93
13.5,56.0,-7.8,7.64,-63.21,0.19,0.09,0.96
13.75,54.0,-25.29,1.0,-58.09,0.19,0.1,1.0
14.0,53.0,-19.48,21.0,-112.8,0.19,0.1,1.08
14.25,51.0,-6.78,31.6,-69.63,0.2,0.09,1.02
14.5,50.0,-11.38,31.0,-73.83,0.2,0.07,0.97
14.75,48.0,2.48,1.54,-92.16,0.19,0.09,0.98
15.0,48.0,-19.87,-13.0,99.7,0.17,0.08,1.04
15.25,47.0,-24.7,16.0,-64.06,0.18,0.05,1.09
15.5,45.0,-28.21,33.0,-123.6,0.25,0.04,1.11
15.75,45.0,-3.75,31.5,-89.7,0.23,0.05,0.94
16.0,44.0,15.02,4.6,-52.05,0.26,0.07,1.01
16.25,43.0,-18.97,-22.0,88.5,0.22,0.05,0.95
16.5,41.0,-16.84,-1.0,20.19,0.2,0.09,0.97
16.75,40.0,-35.05,0.4,7.88,0.23,0.07,1.01
17.0,40.0,-23.26,13.0,-35.14,0.23,0.06,1.1
17.25,39.0,5.17,6.0,14.22,0.17,0.06,0.79
17.5,38.0,-11.09,4.2,17.47,0.23,0.08,0.95
17.75,36.0,30.31,3.89,-2.4,0.2,0.06,0.92
18.0,36.0,38.26,-7.2,29.32,0.24,0.06,1.05
18.25,34.0,37.56,-16.0,18.17,0.22,0.08,1.03
18.5,34.0,48.4,-1.1,76.48,0.2,0.08,0.92
18.75,33.0,19.85,-4.0,56.54,0.23,0.08,0.91
19.0,31.0,-2.94,-25.0,65.49,0.29,0.1,1.08
19.25,29.0,25.84,-37.0,119.04,0.3,0.08,1.28
19.5,28.0,60.23,-27.0,119.05,0.27,0.08,1.16
19.75,28.0,62.97,-5.0,134.02,0.21,0.06,0.95
20.0,26.0,30.11,-18.0,85.29,0.22,0.05,0.98
20.25,26.0,39.81,-38.0,133.34,0.2,0.07,1.05
20.5,25.0,71.38,-5.0,158.75,0.21,0.1,1.11
20.75,24.0,42.97,19.3,92.31,0.2,0.07,0.96
21.0,23.0,4.9,0.67,77.47,0.19,0.08,0.91
21.25,22.0,12.08,-18.0,134.92,0.22,0.07,1.03
21.5,21.0,37.56,-11.0,132.92,0.21,0.11,1.03
21.75,20.0,48.99,10.4,113.1,0.19,0.1,1.02
22.0,20.0,8.65,0.92,5.8,0.24,0.17,1.25
22.25,20.0,-25.96,-25.0,669.24,0.21,0.12,1.21
22.5,19.0,-29.0,-20.0,25.1,0.19,0.07,0.98
22.75,18.0,-33.49,-2.0,-1.83,0.17,0.06,0.8
23.0,17.0,-4.31,-2.5,-43.68,0.2,0.07,0.91
23.25,17.0,11.1,-12.0,-124.2,0.23,0.07,1.07
23.5,17.0,9.63,16.6,-69.03,0.23,0.08,1.13
23.75,16.0,0.49,23.0,-82.44,0.25,0.08,1.2
24.0,17.0,-23.9,-22.0,58.7,0.17,0.06,0.93
24.25,16.0,-24.88,7.5,-51.17,0.21,0.04,0.91
24.5,14.0,11.29,16.3,-104.44,0.22,0.04,1.08
24.75,15.0,26.12,6.97,-77.42,0.24,0.05,1.18
25.0,15.0,30.19,7.99,-49.49,0.21,0.08,1.06
25.25,15.0,11.24,0.75,-16.91,0.18,0.06,0.84
25.5,15.0,-16.97,-0.0,2.95,0.19,0.07,0.95
25.75,14.0,-31.41,-3.0,-10.81,0.2,0.09,1.09
26.0,14.0,-51.9,-9.0,3.57,0.17,0.06,0.9
26.25,13.0,-26.66,19.0,22.92,0.17,0.03,0.8
26.5,13.0,-5.72,9.72,-6.98,0.16,0.02,0.85
26.75,12.0,11.44,13.2,-15.4,0.24,0.02,1.13
27.0,11.0,36.37,25.1,-8.36,0.24,0.01,1.2
27.25,11.0,40.94,20.4,7.88,0.26,0.03,1.14
27.5,10.0,29.27,-2.4,8.51,0.24,0.04,1.13
27.75,11.0,21.43,-6.8,79.0,0.25,0.04,1.07
28.0,11.0,18.2,-29.0,33.28,0.25,0.06,1.09
28.25,10.0,40.02,-41.0,46.4,0.22,0.06,1.13
28.5,10.0,39.27,-40.0,57.51,0.19,0.07,1.0
28.75,10.0,34.44,-21.0,54.79,0.18,0.07,0.86
29.0,10.0,25.16,-4.7,87.91,0.18,0.07,0.87
29.25,10.0,9.92,31.5,41.2,0.19,0.09,0.95
29.5,10.0,3.62,34.6,36.17,0.23,0.11,1.02
29.75,10.0,-1.18,-20.0,77.25,0.27,0.08,1.04
30.0,10.0,6.87,18.0,89.14,0.27,0.07,1.04
30.25,8.6,30.62,-25.0,144.66,0.23,0.04,1.07
